id,display_name,display_name_alternatives,type,season,description
85,信濃川,"しなのがわ,しなのがは",歌枕,,越後
86,出雲崎,いづもざき,歌枕,,越後
87,寺泊,てらどまり,歌枕,,越後
88,佐渡島,さどがしま,歌枕,,佐渡島
89,五十鈴川,いすずがわ,歌枕,,伊勢
90,御裳濯川,みもすそがわ,歌枕,,伊勢
91,大淀,おおよど,歌枕,,伊勢
92,御熊野浦,みくまののうら,歌枕,,伊勢
93,七栗湯,ななくりのゆ,歌枕,,伊勢。 三重県津市榊原温泉。
94,長浜,ながはま,歌枕,,伊勢
95,鈴鹿山,すずかやま,歌枕,,伊勢。鈴鹿峠とその周辺の山地を称して鈴鹿山と呼ばれる。
96,麻生浦,"おうのうら,麻生の浦,をふの浦",歌枕,,伊勢。伊勢国、大淀の浦または志摩国浦村の入江あたり。
97,神路山,,歌枕,,伊勢
98,高見山,,歌枕,,伊勢
99,志摩,しま,歌枕,,三重県志摩地方
100,嗚呼見浦,"あみのうら,嗚呼見の浦",歌枕,,志摩の浦
101,伊勢,いせ,歌枕,,三重県伊勢地方。志摩の海は伊勢の海とも
102,鳴海,なるみ,歌枕,,愛知県名古屋市緑区鳴海
103,志賀須賀渡,しかすがのわたし,歌枕,,三河
104,引馬野,"ひくまの,引摩野",歌枕,,三河、または遠江の引摩野とも。愛知県豊川市の引馬神社、愛知県知立市の馬市跡または静岡県浜松市
105,八橋,やつはし,歌枕,,三河
106,二村山,ふたむらやま,歌枕,,三河
107,伊良湖崎,いらごさき,歌枕,,三河
108,浜名橋,はまなのはし,歌枕,,駿河
109,田子浦,"たごのうら,田子の浦",歌枕,,駿河
110,三保浦,"みほのうら,三保の浦",歌枕,,駿河
111,富士山,ふじのやま,歌枕,,駿河
112,古奴美浜,こぬみのはま,歌枕,,駿河
113,清見潟,きよみがた,歌枕,,駿河
114,浮島原,うきしまばら,歌枕,,駿河
115,木枯森,こがらしのもり,歌枕,,駿河
116,宇津山,うつのやま,歌枕,,静岡県宇津ノ谷峠
117,小夜中山,"小夜の中山,さよのなかやま",歌枕,,一説に静岡県掛川市内。
118,差出磯,さしでのいそ,歌枕,,差出の磯
119,古古比森,ここいのもり,歌枕,,古い森
120,足柄,,歌枕,,相模。現在の山北町。歌枕としての「足柄」は「足」に掛け、「足が軽い」の意味や、「足柄の山」など、旅の歌として詠まれることが多く、足柄の山の木で船を作ると、船足が軽かったと知られていました。古代には足柄道が東海道として整備され、足柄路（矢倉沢往還）と呼ばれ、足柄峠より東を坂東と称して足柄峠はその入り口でした ﻿National Diet Library﻿。899年（昌泰2年）には足柄峠に関が設置されました。足柄地域（山北町を含む）は上代文学において、東国への入り口・交通の要所として、また歌枕・名所として頻繁に登場します。特に万葉集では防人の歌や旅の歌の中で重要な地として詠まれており、古代から文学的に重要な意味を持つ土地でした。
121,こゆるぎ,,歌枕,,相模。大磯町付近一帯の海岸。
122,鎌倉,,歌枕,,相模。鎌倉幕府が置かれた所。鎌倉市。
123,箱根,,歌枕,,相模
124,堀兼井,"ほりかねのい,堀難井之井,ほりかねの井,堀兼の井",歌枕,,埼玉県狭山市堀兼。まいまいず井戸構造
125,みよし野,みよしの,歌枕,,埼玉県川越市的場、伊佐沼、坂戸市三芳野説
126,隅田川,,歌枕,,
127,武蔵野,,歌枕,,
128,真間継橋,ままのつぎばし,歌枕,,真間の継橋
